,cod_ibge,txt_nome_municipio,txt_sigla_uf,txt_regiao,dt_assinatura,cod_operacao,txt_nome_empreendimento,txt_nome_agente_financeiro,txt_modalidade,txt_situacao_empreendimento,qtd_uh,qtd_uh_entregues,qtd_uh_vigentes,qtd_uh_distratadas,val_contratado_total,val_desembolsado
0,110.02,Porto Velho ,RO,Norte,09/04/2010,29925581.0,RESIDENCIAL CIDADE DE TODOS III,CAIXA,FAR,Concluído,240,240,0,0,13830963.0,13809147.96
1,110.02,Porto Velho ,RO,Norte,09/04/2010,30011639.0,RESIDENCIAL CIDADE DE TODOS IX,CAIXA,FAR,Concluído,240,240,0,0,14218052.0,14218051.93
2,110.02,Porto Velho ,RO,Norte,09/07/2010,32680414.0,RESIDENCIAL CIDADE DE TODOS - LOTE 01,CAIXA,FAR,Concluído,114,114,0,0,6840691.0,6840691.6
3,110.02,Porto Velho ,RO,Norte,09/07/2010,32703630.0,RESIDENCIAL CIDADE DE TODOS - LOTE 02,CAIXA,FAR,Concluído,82,82,0,0,3421062.0,3421062.22
4,110.02,Porto Velho ,RO,Norte,25/06/2013,40267126.0,RESIDENCIAL PORTO BELLO II,CAIXA,FAR,Concluído,272,272,0,0,18161056.0,18161056.68
5,110.02,Porto Velho ,RO,Norte,25/06/2013,40267344.0,RESIDENCIAL PORTO BELO I,CAIXA,FAR,Concluído,272,272,0,0,18185358.0,17921671.09
6,110.02,Porto Velho ,RO,Norte,25/06/2013,40267459.0,PORTO MADERO V,CAIXA,FAR,Não Concluído,288,0,288,0,19198308.0,17791071.36
7,110.02,Porto Velho ,RO,Norte,25/06/2013,40267564.0,RESIDENCIAL PORTO BELLO III,CAIXA,FAR,Concluído,272,272,0,0,18224000.0,18224000.0
8,110.02,Porto Velho ,RO,Norte,25/06/2013,40272237.0,RESIDENCIAL PORTO BELLO IV,CAIXA,FAR,Concluído,272,272,0,0,18043186.0,18043186.04
9,110.02,Porto Velho ,RO,Norte,25/06/2013,40272789.0,RESIDENCIAL PORTO MADERO I,CAIXA,FAR,Concluído,304,304,0,0,20045632.0,20045631.12
10,110.02,Porto Velho ,RO,Norte,25/06/2013,40272906.0,PORTO MADERO II,CAIXA,FAR,Não Concluído,304,0,304,0,20107406.0,19244798.29
11,110.02,Porto Velho ,RO,Norte,25/06/2013,40273148.0,PORTO FINO,CAIXA,FAR,Não Concluído,304,0,304,0,20368000.0,19677524.8
12,110.02,Porto Velho ,RO,Norte,25/06/2013,40273367.0,RESIDENCIAL PORTO MADERO III,CAIXA,FAR,Concluído,304,304,0,0,20010476.0,20010476.58
13,110.02,Porto Velho ,RO,Norte,25/06/2013,40273690.0,RESIDENCIAL PORTO MADERO IV,CAIXA,FAR,Concluído,144,144,0,0,9648000.0,9648000.0
14,110.002,Ariquemes ,RO,Norte,25/03/2013,40024519.0,RESIDENCIAL FELIZ CIDADE,CAIXA,FAR,Concluído,349,349,0,0,21539532.0,21539532.5
