"id_tmdb","titulo","ano_lancamento","palavras_chave"
"10906","Pet Sematary II","1992","underdog,based on novel or book,parent child relationship,veterinarian,villain,resurrection,stepfather,woods,zombie,dog,pet cemetery,woman director"
"7341","The Rage: Carrie 2","1999","high school,suicide,fire,asylum,telekinesis,swimming pool,sequel,teacher,murder,prom,weightlifting,woman director"
"17898","Silver Bullet","1985","based on novel or book,maine,werewolf"
"497","The Green Mile","1999","mentally disabled,based on novel or book,southern usa,psychopath,death row,jail guard,supernatural,great depression,prison guard,jail,electric chair,torture,magic realism,healing,hopeless,grim,1930s,abuse of power,inspirational,authoritarian,demeaning,pessimistic"
"1700","Misery","1990","based on novel or book,nurse,psychopath,colorado,car crash,author,slasher,psychological thriller,torture,obsessed fan,blizzard,bedridden,psycho,lunatic,disturbed,angry,female psychopath,claustrophobic,abducted,obssesive fan,rural setting,crazy,kidnapped,authoritarian,fight for survival,nutcase"
"11431","Fever Pitch","2005","sports,workaholic,baseball,affectation,fanatic,relationship problems,death of father,teacher,curse,dating,man child,red sox,fenway park,group of friends,uncle nephew relationship,nostalgic,boyfriend girlfriend relationship,baseball stadium,world series,angry,major league baseball (mlb),egotistical,hilarious,whimsical,amused,antagonistic,empathetic,sympathetic,season tickets,working toward job promotion"
"8769","Christine","1983","anthropomorphism,overprotective parent,vexed,inanimate objects come to life,playful,vindictive,distressing,harsh"
"10489","Cujo","1983","based on novel or book,animal attack,cadillac,dam,corpse,dog,rabies,rabid dog,rabbit hole,trapped in car,mad dog,pets,animal horror,saint bernard dog,sinister,disheartening,horrified,ominous"
"10163","The Lawnmower Man","1992","dreams,virtual reality,technology,chimp,manipulation,botanist,lemonade,revenge,cyberpunk,scientist,cyberspace,surveillance,based on short story,intelligent,world domination,supernatural power"
"12483","Riding the Bullet","2004","suicide,ex-girlfriend,apoplectic stroke,halloween"
"353491","The Dark Tower","2017","mind control,gunslinger,based on novel or book,portal,parallel world,another world"
"10552","Cat's Eye","1985","adultery,monster,cat,smoking,menace,anthology,atlantic city,troll,pets"
"11929","Dolores Claiborne","1995","depression,child abuse,island,based on novel or book,detective,suspicion of murder,abusive father,melancholy,dysfunctional family,lawsuit,alcoholism,murder,maine,domestic violence,reporter,maid,anger,alcoholic father,macabre,angry,accident,abusive husband,anti-depressant,bank account,antagonistic,awestruck"
