"ano_lancamento","decada","id_ano"
"1976","1970","1"
"1980","1980","2"
"1982","1980","3"
"1983","1980","4"
"1984","1980","5"
"1985","1980","6"
"1986","1980","7"
"1987","1980","8"
"1989","1980","9"
"1990","1990","10"
"1992","1990","11"
"1993","1990","12"
"1994","1990","13"
"1995","1990","14"
"1996","1990","15"
"1997","1990","16"
"1998","1990","17"
"1999","1990","18"
"2001","2000","19"
"2003","2000","20"
"2004","2000","21"
"2005","2000","22"
"2007","2000","23"
"2013","2010","24"
"2017","2010","25"
"2019","2010","26"
"2022","2020","27"
